model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Mercedes-Benz,2021,24833.0,красный,3000.0,роботизированная,передний,1 владелец,1.3,150.0,бензиновый ,АИ-95 ,8.2,5.5,Германия ,C ,229.0,Euro 6 ,4048000.0,4.230769230769231,1598.9999999999998,6208.25
Chery,2021,59973.0,серый,2940.0,вариатор,передний,1 владелец,1.5,147.0,бензиновый ,АИ-92 ,9.8,8.2,Китай ,C ,186.0,Euro 6 ,2020000.0,5.466666666666666,2160.9,14993.25
Kia,2021,93001.0,белый,7160.0,автоматическая,полный,2 владельца,2.5,179.0,бензиновый ,АИ-95 ,10.3,8.9,Южная Корея ,D ,195.0,Euro 5 ,3799000.0,3.56,4609.25,23250.25
Lada,2019,92695.0,чёрный,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,12.4,7.3,Россия ,B ,178.0,Euro 5 ,1150000.0,4.5625,2103.0400000000004,15449.166666666666
Ford,2008,210000.0,голубой,2500.0,механическая,передний,3 или более,1.8,125.0,бензиновый ,АИ-95 ,10.0,7.0,США ,C ,193.0,Euro 0,570000.0,3.888888888888889,2250.0,12352.941176470587
Renault,2021,25302.0,серый,2280.0,вариатор,передний,1 владелец,1.6,114.0,бензиновый ,АИ-95 ,12.9,7.1,Франция ,B ,170.0,Euro 5 ,1960000.0,4.437499999999999,2352.96,6325.5
Kia,2022,29671.0,белый,7760.0,автоматическая,передний,3 или более,2.5,194.0,бензиновый ,АИ-95 ,8.6,7.1,Южная Корея ,D ,210.0,Euro 5 ,2965000.0,2.84,4171.0,9890.333333333334
Mini,2011,94800.0,белый,882.0,автоматическая,передний,3 или более,1.6,98.0,бензиновый ,АИ-95 ,12.3,6.4,Великобритания ,B ,181.0,Euro 5 ,980000.0,4.0,1928.6400000000003,6771.428571428572
Land,2017,177000.0,белый,18675.0,автоматическая,полный,2 владельца,3.0,249.0,дизельный ,ДТ ,8.1,7.2,Великобритания ,J ,209.0,Euro 6 ,3650000.0,2.4,6050.7,22125.0
Lada,2021,68501.0,серебристый,2260.0,вариатор,передний,1 владелец,1.6,113.0,бензиновый ,АИ-92 ,12.2,7.4,Россия ,B ,170.0,Euro 5 ,1259990.0,4.625,2205.76,17125.25
Lada,2023,13500.0,чёрный,810.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,172.0,Euro 5 ,1095000.0,4.25,1612.8,6750.0
Opel,2008,150455.0,серый,2800.0,роботизированная,передний,3 или более,1.8,140.0,бензиновый ,АИ-95 ,10.7,7.2,Германия ,D ,210.0,Euro 0,570000.0,4.0,2696.3999999999996,8850.29411764706
Volkswagen,2012,153882.0,серебристый,2200.0,роботизированная,передний,3 или более,2.0,110.0,дизельный ,ДТ ,12.1,5.7,Германия ,M ,183.0,Euro 0,1399000.0,2.85,2662.0,11837.076923076924
Volkswagen,2021,27300.0,белый,16500.0,роботизированная,полный,2 владельца,2.0,220.0,бензиновый ,АИ-95 ,6.8,8.4,Германия ,C ,217.0,Euro 6 ,4750000.0,4.2,2992.0,6825.0
BMW,2019,95000.0,чёрный,60000.0,автоматическая,полный,2 владельца,3.0,400.0,дизельный ,ДТ ,5.4,7.5,Германия ,F ,250.0,Euro 6 ,9500000.0,2.5,6480.0,15833.333333333334
